source,filename,reason
data_uncleaned\2026-05-05\btc-updown-5m-1777156500.csv,btc-updown-5m-1777156500.csv,"missing required columns: ['down_price', 'elapsed', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777156800.csv,btc-updown-5m-1777156800.csv,"missing required columns: ['down_price', 'elapsed', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777157100.csv,btc-updown-5m-1777157100.csv,"missing required columns: ['down_price', 'elapsed', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777157400.csv,btc-updown-5m-1777157400.csv,"missing required columns: ['down_price', 'elapsed', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777157700.csv,btc-updown-5m-1777157700.csv,"missing required columns: ['down_price', 'elapsed', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777158000.csv,btc-updown-5m-1777158000.csv,"missing required columns: ['down_price', 'elapsed', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777158300.csv,btc-updown-5m-1777158300.csv,"missing required columns: ['down_price', 'elapsed', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777158600.csv,btc-updown-5m-1777158600.csv,"unexpected error: ValueError: file contains NUL bytes, likely corrupted or wrong encoding"
data_uncleaned\2026-05-05\btc-updown-5m-1777223400.csv,btc-updown-5m-1777223400.csv,"missing required columns: ['elapsed', 'price_to_beat', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777223700.csv,btc-updown-5m-1777223700.csv,"missing required columns: ['elapsed', 'price_to_beat', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777224000.csv,btc-updown-5m-1777224000.csv,"missing required columns: ['elapsed', 'price_to_beat', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777224300.csv,btc-updown-5m-1777224300.csv,"missing required columns: ['elapsed', 'price_to_beat', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777224600.csv,btc-updown-5m-1777224600.csv,"missing required columns: ['elapsed', 'price_to_beat', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777237200.csv,btc-updown-5m-1777237200.csv,"missing required columns: ['elapsed', 'price_to_beat', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777237500.csv,btc-updown-5m-1777237500.csv,"missing required columns: ['elapsed', 'price_to_beat', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777323000.csv,btc-updown-5m-1777323000.csv,"missing required columns: ['elapsed', 'price_to_beat', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777323300.csv,btc-updown-5m-1777323300.csv,"missing required columns: ['elapsed', 'price_to_beat', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777323600.csv,btc-updown-5m-1777323600.csv,"missing required columns: ['elapsed', 'price_to_beat', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777323900.csv,btc-updown-5m-1777323900.csv,"missing required columns: ['elapsed', 'price_to_beat', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777492800.csv,btc-updown-5m-1777492800.csv,"missing required columns: ['elapsed', 'price_to_beat', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777493100.csv,btc-updown-5m-1777493100.csv,"missing required columns: ['elapsed', 'price_to_beat', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777493700.csv,btc-updown-5m-1777493700.csv,"missing required columns: ['elapsed', 'price_to_beat', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777494000.csv,btc-updown-5m-1777494000.csv,"missing required columns: ['elapsed', 'price_to_beat', 'unix_time']"
data_uncleaned\2026-05-05\btc-updown-5m-1777685400.csv,btc-updown-5m-1777685400.csv,first elapsed too late: 247.18s > 15.00s
data_uncleaned\2026-05-05\btc-updown-5m-1777685700.csv,btc-updown-5m-1777685700.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777686000.csv,btc-updown-5m-1777686000.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777686300.csv,btc-updown-5m-1777686300.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777686600.csv,btc-updown-5m-1777686600.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777686900.csv,btc-updown-5m-1777686900.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777687200.csv,btc-updown-5m-1777687200.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777687500.csv,btc-updown-5m-1777687500.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777687800.csv,btc-updown-5m-1777687800.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777688100.csv,btc-updown-5m-1777688100.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777688400.csv,btc-updown-5m-1777688400.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777802400.csv,btc-updown-5m-1777802400.csv,first elapsed too late: 271.33s > 15.00s
data_uncleaned\2026-05-05\btc-updown-5m-1777802700.csv,btc-updown-5m-1777802700.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777803000.csv,btc-updown-5m-1777803000.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777803300.csv,btc-updown-5m-1777803300.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777803600.csv,btc-updown-5m-1777803600.csv,duplicate ready market filename already copied
