timestamp,unix_time,seconds_left,elapsed,time_fraction_elapsed,up_price,down_price,up_minus_down,up_price_change_0_5s,up_price_change_1s,up_price_change_5s,up_price_change_15s,up_price_change_30s,down_price_change_0_5s,down_price_change_1s,down_price_change_5s,down_price_change_15s,down_price_change_30s,btc_binance,btc_chainlink,btc_price,btc_return_0_5s,btc_return_1s,btc_return_5s,btc_return_15s,btc_return_30s,btc_return_60s,btc_volatility_5s,btc_volatility_15s,btc_volatility_30s,btc_volatility_60s,price_to_beat,btc_distance_to_beat,btc_distance_to_beat_pct,btc_above_price_to_beat,direction_signal,market_confidence_gap,abs_market_confidence_gap
03:05:05.901,1777687505.901,294.1,5.9,0.0196666666666667,0.38,0.62,-0.24,0,0,0.01,,,0,0,-0.01,,,78327.21,78328.0850003814,78328.0850003814,6.48964084328963e-06,6.48964084328963e-06,2.36497417262488e-05,,,,4.85037985798733e-06,4.56344977459559e-06,4.56344977459559e-06,4.56344977459559e-06,78326.2326052099,1.8523951715033,2.36497417262488e-05,1,1,0.62,0.62
03:05:06.136,1777687506.136,293.86,6.14,0.0204666666666667,0.38,0.62,-0.24,0,0,0.01,,,0,0,-0.01,,,78327.21,78328.0850003814,78328.0850003814,6.48964084328963e-06,6.48964084328963e-06,2.36497417262488e-05,,,,4.85037985798733e-06,4.47852707112917e-06,4.47852707112917e-06,4.47852707112917e-06,78326.2326052099,1.8523951715033,2.36497417262488e-05,1,1,0.62,0.62
03:05:06.344,1777687506.345,293.66,6.34,0.0211333333333333,0.38,0.62,-0.24,0,0,0.01,,,0,0,-0.01,,,78327.21,78327.5571373225,78327.5571373225,-2.4953176033526e-07,-2.4953176033526e-07,1.69104534784927e-05,,,,4.5032667669358e-06,4.62610816408838e-06,4.62610816408838e-06,4.62610816408838e-06,78326.2326052099,1.324532112616,1.69104534784927e-05,1,1,0.62,0.62
03:05:06.574,1777687506.575,293.43,6.57,0.0219,0.38,0.62,-0.24,0,0,0.01,,,0,0,-0.01,,,78327.21,78327.5571373225,78327.5571373225,-6.73912886909894e-06,-2.4953176033526e-07,5.03110919429488e-06,,,,4.5032667669358e-06,4.54423472033349e-06,4.54423472033349e-06,4.54423472033349e-06,78326.2326052099,1.324532112616,1.69104534784927e-05,1,1,0.62,0.62
03:05:06.796,1777687506.797,293.2,6.8,0.0226666666666667,0.38,0.62,-0.24,0,0,0.01,,,0,0,-0.01,,,78327.21,78327.5571373225,78327.5571373225,-6.73912886909894e-06,-2.4953176033526e-07,5.03110919429488e-06,,,,4.5032667669358e-06,4.46655817286735e-06,4.46655817286735e-06,4.46655817286735e-06,78326.2326052099,1.324532112616,1.69104534784927e-05,1,1,0.62,0.62
03:05:07.019,1777687507.019,292.98,7.02,0.0234,0.38,0.62,-0.24,0,0,0.01,,,0,0,-0.01,,,78327.21,78327.5571373225,78327.5571373225,0,-6.73912886909894e-06,5.03110919429488e-06,,,,3.63687863888737e-06,4.39273193248842e-06,4.39273193248842e-06,4.39273193248842e-06,78326.2326052099,1.324532112616,1.69104534784927e-05,1,1,0.62,0.62
03:05:07.221,1777687507.222,292.78,7.22,0.0240666666666667,0.38,0.62,-0.24,0,0,0.01,,,0,0,-0.01,,,78327.2,78327.5571373225,78327.5571373225,0,-6.73912886909894e-06,1.69968738861899e-05,,,,3.63687863888737e-06,4.32244818617509e-06,4.32244818617509e-06,4.32244818617509e-06,78326.2326052099,1.324532112616,1.69104534784927e-05,1,1,0.62,0.62
03:05:07.423,1777687507.424,292.58,7.42,0.0247333333333333,0.38,0.62,-0.24,0,0,0.01,,,0,0,-0.01,,,78327.2,78327.5571373225,78327.5571373225,0,0,1.69968738861899e-05,,,,3.63687863888737e-06,4.25543249394488e-06,4.25543249394488e-06,4.25543249394488e-06,78326.2326052099,1.324532112616,1.69104534784927e-05,1,1,0.62,0.62
03:05:07.639,1777687507.64,292.36,7.64,0.0254666666666667,0.38,0.62,-0.24,0,0,0.01,,,0,0,-0.01,,,78327.2,78327.6441500331,78327.6441500331,1.11088247532751e-06,1.11088247532751e-06,1.81077752430467e-05,,,,3.63351169954032e-06,4.19164943116633e-06,4.19164943116633e-06,4.19164943116633e-06,78326.2326052099,1.41154482317506,1.80213547393466e-05,1,1,0.62,0.62
03:05:07.861,1777687507.861,292.14,7.86,0.0262,0.38,0.62,-0.24,0,0,0.01,,,0,0,-0.01,,,78327.2,78327.6441500331,78327.6441500331,1.11088247532751e-06,1.11088247532751e-06,1.81077752430467e-05,,,,3.63351169954032e-06,4.13057816551473e-06,4.13057816551473e-06,4.13057816551473e-06,78326.2326052099,1.41154482317506,1.80213547393466e-05,1,1,0.62,0.62
03:05:08.077,1777687508.077,291.92,8.08,0.0269333333333333,0.38,0.62,-0.24,0,0,0.01,,,0,0,-0.01,,,78327.2,78328.1118487894,78328.1118487894,7.08194519441416e-06,7.08194519441416e-06,2.40789394515334e-05,,,,2.41237747148803e-06,4.17083668399012e-06,4.17083668399012e-06,4.17083668399012e-06,78326.2326052099,1.87924357947486,2.39925184318116e-05,1,1,0.62,0.62
03:05:08.311,1777687508.312,291.69,8.31,0.0277,0.38,0.62,-0.24,0,0,0.01,,,0,0,-0.01,,,78327.21,78328.1118487894,78328.1118487894,5.97105608594509e-06,7.08194519441416e-06,9.63010635723581e-06,,,,2.41237747148803e-06,4.11404306205973e-06,4.11404306205973e-06,4.11404306205973e-06,78326.2326052099,1.87924357947486,2.39925184318116e-05,1,1,0.62,0.62
03:05:08.544,1777687508.545,291.46,8.54,0.0284666666666667,0.38,0.62,-0.24,0,0,0.01,,,0,0,-0.01,,,78327.21,78328.1118487894,78328.1118487894,5.97105608594509e-06,7.08194519441416e-06,9.63010635723581e-06,,,,2.41237747148803e-06,4.05950594503079e-06,4.05950594503079e-06,4.05950594503079e-06,78326.2326052099,1.87924357947486,2.39925184318116e-05,1,1,0.62,0.62
