timestamp,unix_time,seconds_left,elapsed,up_price,down_price,btc_binance,btc_chainlink,price_to_beat,balance,up_tokens,down_tokens,event,event_side,bet_usd,buy_prob,tokens,btc_at_event,reason,outcome,payout,pnl
21:52:06.512,1777841526.512,173.49,126.51,0.91,0.09,,78894.12742842468,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:06.712,1777841526.713,173.29,126.71,0.91,0.09,,78894.12742842468,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:06.916,1777841526.917,173.08,126.92,0.91,0.09,,78894.12742842468,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:07.120,1777841527.121,172.88,127.12,0.91,0.09,,78894.63866463667,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:07.328,1777841527.329,172.67,127.33,0.91,0.09,,78894.63866463667,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:07.549,1777841527.549,172.45,127.55,0.91,0.09,,78894.63866463667,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:07.743,1777841527.743,172.26,127.74,0.9,0.1,,78894.63866463667,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:07.965,1777841527.966,172.03,127.97,0.9,0.1,,78894.63866463667,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:08.201,1777841528.202,171.80,128.20,0.9,0.1,,78894.53806788773,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:08.406,1777841528.406,171.59,128.41,0.9,0.1,,78894.53806788773,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:08.602,1777841528.603,171.40,128.60,0.9,0.1,,78894.53806788773,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:08.839,1777841528.840,171.16,128.84,0.9,0.1,,78894.53806788773,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:09.053,1777841529.053,170.95,129.05,0.9,0.1,,78894.53806788773,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:09.260,1777841529.261,170.74,129.26,0.9,0.1,,78893.83643179061,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:09.471,1777841529.472,170.53,129.47,0.9,0.1,,78893.83643179061,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:09.701,1777841529.702,170.30,129.70,0.9,0.1,,78893.83643179061,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:09.906,1777841529.907,170.09,129.91,0.9,0.1,,78893.83643179061,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:10.138,1777841530.138,169.86,130.14,0.71,0.29,,78889.33631481967,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:10.397,1777841530.397,169.60,130.40,0.71,0.29,,78889.33631481967,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:10.628,1777841530.628,169.37,130.63,0.71,0.29,,78889.33631481967,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:10.838,1777841530.838,169.16,130.84,0.71,0.29,,78889.33631481967,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:11.061,1777841531.061,168.94,131.06,0.71,0.29,,78889.33631481967,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:11.279,1777841531.279,168.72,131.28,0.71,0.29,,78889.33631481967,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:11.481,1777841531.481,168.52,131.48,0.71,0.29,,78893.37323447544,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:11.685,1777841531.685,168.31,131.69,0.71,0.29,,78893.37323447544,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:11.899,1777841531.900,168.10,131.90,0.71,0.29,,78893.37323447544,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:12.115,1777841532.115,167.88,132.12,0.71,0.29,,78893.37323447544,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:12.308,1777841532.309,167.69,132.31,0.71,0.29,,78893.37323447544,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:12.540,1777841532.541,167.46,132.54,0.71,0.29,,78893.37323447544,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:12.746,1777841532.747,167.25,132.75,0.71,0.29,,78891.74648615652,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:12.998,1777841532.998,167.00,133.00,0.71,0.29,,78891.74648615652,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:13.250,1777841533.251,166.75,133.25,0.71,0.29,,78891.74648615652,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:13.451,1777841533.451,166.55,133.45,0.71,0.29,,78890.62806022483,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
21:52:13.668,1777841533.668,166.33,133.67,0.71,0.29,,78890.62806022483,78840.885885,102.6666,1.4925,0.0000,,,,,,,,,,
